世界三人种不包括（）。,非洲人种
朱熹是北宋著名的理学家、思想家、哲学家和教育家。（）,×
提亲一般要带疏雁，经专家考证，疏雁就是（）。,野鸭子
以下哪个礼指的是“问女方的血缘”？（）,问名
古代，弟兄间婚姻之事没有先后顺序。（）,×
鲁昭公是鲁国之二十四代君主。（）,√
除哪个外，其他三项是同一个意思？（）,纳采
六礼中第四礼是（）。,男方向女方送聘礼
“必以昏者，取其阴来阳往之义”出自（）。,《礼记》
古代亲迎时没有叩拜礼。（）,×
“旦”指太阳从地平线上降落。（）,×
“缡”指的是（）。,古代女子出嫁时所系的佩巾
古代亲迎是指（）。,男方亲自到女方家迎娶女方
“共牢而食”后用什么来漱口？（）,酒
“妆罢低声问夫婿，画眉深浅入时无”出自唐代的朱庆馀。（）,√
“馈特豚”是婚嫁礼仪。（）,√
如果父母已经不在人世，那么婚礼将采用怎样的仪式来拜祭？（）,奠菜
古代婚礼不用乐。（）,√
赦甚指的是婚礼当天可以使用一些原本本身份的人不会使用的东西。（）,√
中国人结婚的传统色彩是（）。,大红色
古人过生日的传统习俗是（）。,吃面
现今梅毒感染率已经是90年代的多少倍？（）,25
英媒体称，中国性观念大步跳跃。（）,√
美国和中国都正在回归禁欲。（）,×
以下哪项不属于六经的内容？（）,史记
古代选拔德行优异的人才，一般几年进行一次，即（）一大比。,三年
乡射礼结束后，大家喝酒，一般宾先行，主动离开。（）,√
陈垣担任过以下哪所大学的校长？（）,辅仁大学
以下哪个不是古希腊比赛所强调的？（）,轻便
赛跑、跳跃、投掷等都是宗教性体育。（）,×
记录了8个国家的历史，被称为“八国春秋”的是（）。,《国语》
把射箭改为一个礼，通过射箭礼来推行的是（）。,仁爱思想
“乡射之礼，所以仁乡党也”出自（）。,《礼记·射义》
把大家聚集起来开会，被称为“教化”。（）,×
阮元，著作家、刊刻家、思想家，在经史数学校勘等方面有着非常高的造诣。（）,√
关于孔子的表述，不正确的是（）。,春秋时期鲁国人，家里排行老大
《论语》中“吾少也贱，故多能鄙事”是对谁的描述？（）,孔子
孔子发明的一种职业是（）。,讲学
将孔子的学术思想归纳为“修己、治人”的是（）。,梁启超
孔子讲学提倡讲教有类。（）,×
子路是孔门七十二贤之一。（）,√
政论源于以下哪部经典著作？（）,《尚书》
西汉开国皇帝，史称太祖高皇帝的是（）。,刘邦
古代帝王诸侯祭祀社稷时的“太牢”不包括（）。,鱼
子贡，孔子得意门生，孔门七十二贤之一，为恩师孔子守墓六年。（）,√
从古至今祭孔都采用一套正规、统一的仪式。（）,×
“素王”指的是（）。,孔子
孔子最得意弟子，也是最好学的弟子是（）。,颜回
被后世儒家尊为“宗圣”的是（）。,曾参
孔子从四科来评价自己的学生，其中颜回在哪一方面表现最突出？（）,德行
子思曾著述《大学》《孝经》等儒家经典。（）,×
“复圣”指的是孔伋。（）,×
中国第一位创立私学的伟大的学者是（）。,孔子
文庙祭奠的是（）。,孔子
成均馆是古代朝鲜的国立高等教育机构，相当于中国的（）。,国子监
对关于朱熹的描述，不正确的是（）。,后被人尊称为有子
供奉孔子的殿都叫大成殿。（）,√
成杰思汗是辽国开国皇帝，史称辽太祖。（）,×
哪朝人发明了三跪九叩？（）,清朝人
明伦堂匾额是哪位中国使节所书？（）,朱之蕃
东北最大的孔庙是（）。,哈尔滨孔庙
再拜礼一般需要拜四次。（）,×
三献官指初献官、亚献官、终献官。（）,√
《谏逐客书》作者是（）。,李斯
古代书信一般格式中放在最后的是（）。,署名
以下哪项是对对方儿子的尊称？（）,令郎
封泥，又叫“泥封”，包在缄的打结处的泥。（）,√
自谦敬人是书信基本原则。（）,√
以下哪项是对对方父亲的尊称？（）,令尊
一般称自己的作品是（）。,拙作
以下哪项是书信中对长辈的提称语？（）,道鉴
以下哪项是书信中对同学的提称语？（）,砚右
提称语不可以将多个词语叠加使用。（）,×
“恭请福安”是用于父母祝愿语。（）,√
《小学》的作者是（）。,朱熹
《训蒙文》经贾有仁修订，改名为（）。,《弟子规》
《小学》在内容上有完善的体系。（）,×
《三字经》是“开蒙养正之最上乘”。（）,×
《弟子规》中认为，如果父母有过错，儿子的做法是（）。,劝诫
《弟子规》认为，父母最讨厌的东西要摒弃。（）,√
舜是一个大孝子。（）,√
中国现代最负盛名的历史学家、古典文献研究家和语言学家是（）。,陈寅恪
以下哪项不符合《弟子规》中的要求（）。,坐着问问题
《弟子规》认为，晚辈跟长辈关系很亲近时，可以直呼其名。（）,×
启功是当代著名的国学大师。（）,√
《弟子规》中“置冠服有定位”的意思是（）。,帽子衣服的放置有固定的地方
《弟子规》认为人到一个地方一定要踩门槛。（）,×
《弟子规》认为拿着一个空罐子要像拿着盛满东西的罐子一样。（）,√
《弟子规》认为人的声誉从哪里来？（）,行为
《弟子规》中“善相劝德皆建过不规道两亏”中“劝”的意思是（）。,互相鼓励
《弟子规》认为无谓的是非不要参与。（）,√
吕思勉，字诚之，史学家，代表作《白话本国史》、《史籍与史学》。（）,√
《弟子规》中“读书法有三到”中的“三到”不包括（）。,耳
现代古史辨学派的创始人，中国历史地理学和民俗学的开创者是（）。,顾颉刚
田中角荣是第64、65任日本内阁总理大臣。（）,√
戴高乐曾经是一位教德语的教授。（）,×
孔子“怀忠信”的目的是（）。,自我完善
《礼记·儒行篇》认为人要保持高傲。（）,×
《礼记·儒行篇》中“儒有委之以货财”中“委”的意思是（）。,积
《礼记·儒行篇》中“其居处不淫”中“淫”的意思是（）。,过头
毛泽东的老师是徐特立。（）,√
“门户开放”的意思是门和窗户一起开放。（）,×
《礼记·儒行篇》中“适弗逢世”中“适”的意思是（）。,恰好
孔子认为一个人一生要把什么当成最高境界？（）,真理
孔子认为不要跟多行不义的人有过多的交往。（）,√
